,is_spam,message,num_words,message_len,nb_tokenized_words,message_cleaned,XLM_en_embed
0,0,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",20,111,20,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",[ 0.5619737  2.6025808 -1.863178  ...  1.4655172  1.9214603 -1.9959539]
1,0,Ok lar... Joking wif u oni...,6,29,6,Ok lar... Joking wif u oni...,"[-2.0142095   0.13233127 -0.21381526 ... -1.5121872   1.3877654
  3.6564515 ]"
2,1,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,33,155,28,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,"[-1.1943375   0.6819773  -2.6809423  ...  0.20399645  0.9642964
  2.476329  ]"
3,0,U dun say so early hor... U c already then say...,11,49,11,U dun say so early hor... U c already then say...,"[-0.7320688   2.4191842  -1.8348713  ...  1.0448633  -0.4411737
  0.30374342]"
4,0,"Nah I don't think he goes to usf, he lives around here though",14,61,13,"Nah I don't think he goes to usf, he lives around here though","[-0.09956863  0.10637283 -3.0418856  ...  0.2904464  -0.22548443
  2.1219826 ]"
5,1,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, å£1.50 to rcv",37,148,32,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, å£1.50 to rcv",[-3.8415127 -1.9622769 -1.1568346 ... -1.3577315 -2.2706137  1.3942814]
6,0,Even my brother is not like to speak with me. They treat me like aids patent.,16,77,16,Even my brother is not like to speak with me. They treat me like aids patent.,"[ 3.0484896   0.3890614  -0.9759122  ... -0.04938365  1.1567124
 -2.298661  ]"
7,0,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,26,160,26,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,"[-0.32806164  0.70732147 -2.4680822  ... -0.7533286   1.14477
 -0.62494725]"
8,1,WINNER!! As a valued network customer you have been selected to receivea å£900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,27,158,26,WINNER!! As a valued network customer you have been selected to receivea å£900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,"[ 1.236706    0.8588738   0.5902474  ... -2.1542897  -1.3486428
  0.05572079]"
9,1,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,29,154,29,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,[-1.8113914  1.2611845 -5.6267104 ... -1.4363129  2.4522588 -0.5883892]
10,0,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",24,109,21,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.","[-2.852246   -0.3749851  -3.9887042  ... -4.2364473  -0.5427847
  0.89470387]"
11,1,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",28,136,26,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info","[ 1.2332414  -0.46783414 -7.066664   ... -2.7279053  -0.638173
  3.1797996 ]"
